Pm,Po,Ps,hm,hs,LintletConst,DmotiveIn,DmotiveOut,Dthroat,alphaMotiveDiff,alphaMotiveConv,Lmch,alphaSuction,Lsuction,Dmix,Lmix,alphadiff,DdiffOut,Loutlet,Dsuc,ThicknessNozzle,ThicknessNozzleOuter,SimulatedIndicator,ConvergenceIndicator,CrashIndicator,Experiment_model_type,MeshRefinement,mfr_m,mfr_s,mfr_o,mfr_err,uni_alpha,uni_vel,ds1,eff
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00159164325,0.00141,3.0,35.0,0.0042,42.0,0.02,0.006923775,0.0462392196768749,34.48675,0.0513423880406249,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077955475,-0.20251199,0.12455609,-4.250000000122212e-07,0.99999998,0.99999998,0.1755417517385492,-1.5135508071141477
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00194400225,0.00141,3.0,35.0,0.0042,42.0,0.02,0.004287075,0.033555686263125,74.04275,0.028514300416875,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077386825,0.018166471,-0.095552131,1.165000000011296e-06,0.99474902,0.99474902,0.0405904655490591,0.1367717569343279
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00206836425,0.00141,3.0,35.0,0.0042,42.0,0.02,0.006138375,0.033635379271875,85.72975000000001,0.046897952296875,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077750426,-0.124056,0.046304865,-7.09000000001514e-07,0.99999999,0.99999999,0.2708334065458995,-0.9296251861826637
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00158473425,0.00141,3.0,35.0,0.0042,42.0,0.02,0.002660175,0.003016305928125,46.62325000000001,0.009681906425625,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077045688,0.014141168,-0.091187097,-2.409999999980484e-07,0.86359871,0.86359871,0.0625722062634688,0.1069374512678671
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00148800825,0.00141,3.0,35.0,0.0042,42.0,0.02,0.004230975,0.0028953619668749,78.53775,0.0178713210768749,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077553543,-0.021466661,-0.056086921,-3.899999999334992e-08,0.95785625,0.95785625,0.0631295154986441,-0.1612707997600145
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00157091625,0.00141,3.0,35.0,0.0042,42.0,0.02,0.003165075,0.014971675145625,19.203750000000003,0.0116617979643749,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,0.077197782,0.035540231,-0.11281607,-7.805700000000637e-05,0.96335714,0.96335714,0.0604224144539316,0.2682305922104885
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00150182625,0.00141,3.0,35.0,0.0042,42.0,0.02,0.001986975,0.010986928588125,49.76975,0.003480534433125,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.076862566,-0.0059195674,-0.070945598,-2.5994000000112427e-06,0.017340455,0.017340455,0.0805081387804963,-0.0448712301207769
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00202691025,0.00141,3.0,35.0,0.0042,42.0,0.02,0.0048480749999999,0.027049470856875,45.27475,0.0074026469193749,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077498472,0.006546611,-0.084045488,-4.050000000088705e-07,0.95362515,0.95362515,0.0566364024952109,0.049217129526597
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00164346075,0.00141,3.0,35.0,0.0042,42.0,0.02,0.006699375,0.026001111796875,69.09825000000001,0.036428354015625,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077926386,-0.17583283,0.097905812,-6.3200000000041e-07,0.99999998,0.99999998,0.2001695230410926,-1.3146444596612012
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00185763975,0.00141,3.0,35.0,0.0042,42.0,0.02,0.0036980249999999,0.001791785563125,36.28475,0.011796977101875,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077255935,-0.011864284,-0.065391663,-1.2000000007561518e-08,0.95033616,0.95033616,0.044345616932201,-0.0894751769314162
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00146728125,0.00141,3.0,35.0,0.0042,42.0,0.02,0.002043075,0.008541739036875,20.102750000000004,0.018823616128125,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,0.076921092,-0.004256777,-0.079355772,-0.006691457,0.99849636,0.99849636,0.1165074627098802,-0.0322424728777625
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00176782275,0.00141,3.0,35.0,0.0042,42.0,0.02,0.001510125,0.013026904546875,35.38575,0.003663449990625,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.076613474,-0.023104119,-0.053548762,-3.940699999999825e-05,0.53276062,0.53276062,0.0586621961794182,-0.17570217675183
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00178854975,0.00141,3.0,35.0,0.0042,42.0,0.02,0.001874775,0.001563890435625,42.12825000000001,0.004800876950625,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,0.076740243,-0.0032824331,-0.073722714,-0.0002649040999999,0.20791024,0.20791024,0.0584789332648232,-0.0249210076304972
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00157782525,0.00141,3.0,35.0,0.0042,42.0,0.02,0.006867675,0.033172072093125,66.85074999999999,0.018821378413125,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077955063,-0.19592348,0.11796788,-5.370000000087805e-07,0.9957648,0.9957648,0.1807673139466477,-1.4643167968956254
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00167800575,0.00141,3.0,35.0,0.0042,42.0,0.02,0.004062675,0.007650524859375,30.890750000000004,0.034143837935625,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077425186,0.016175211,-0.093600408,-1.1000000008087872e-08,0.99882703,0.99882703,0.0490577529136513,0.1217196183836809
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00202000125,0.00141,3.0,35.0,0.0042,42.0,0.02,0.001538175,0.004894203669375,47.522250000000014,0.005529162309375,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,0.076580862,-0.030598488,-0.046055451,-7.307699999999778e-05,0.48957928,0.48957928,0.0442611779601482,-0.2327944386629637
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00163309725,0.00141,3.0,35.0,0.0042,42.0,0.02,0.003052875,0.0148984116093749,52.466750000000005,0.020991492178125,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,0.077154681,0.024278851,-0.10152168,-8.814799999999623e-05,0.98693864,0.98693864,0.0578780918083849,0.1833406364734195
